Problem,Bounds_min,Bounds_max
be75eec,236464,NaN
be75oi,111171,NaN
stabu70,362512,NaN
stabu75,553303,NaN
t59d11xx,147354,NaN
t59i11xx,8261545,NaN
t65b11xx,356758,NaN
t65f11xx,217295,NaN
t65l11xx,16719,NaN
t65w11xx,138181029,NaN
t70b11xx,528419,NaN
t70d11xxb,366469,NaN
t70i11xx,24785782,NaN
t70l11xx,25253,NaN
t70u11xx,21716400,NaN
t70x11xx,283808865,NaN
t75d11xx,578304,NaN
t75i11xx,63567735,NaN
t75n11xx,93777,NaN
tiw56n54,91554,NaN
tiw56n62,176715,NaN
tiw56n67,226033,NaN
tiw56r54,102948,NaN
tiw56r66,209491,NaN
tiw56r72,270663,NaN
be75np,716994,NaN
be75tot,980516,NaN
stabu74,541393,NaN
t59b11xx,209320,NaN
t59f11xx,122520,NaN
t59n11xx,20928,NaN
t65d11xx,237739,NaN
t65i11xx,14469163,NaN
t65n11xx,32157,NaN
t69r11xx,771149,NaN
t70d11xx,376725,NaN
t70f11xx,360336,NaN
t70k11xx,60659200,NaN
t70n11xx,52704,NaN
t70w11xx,224319954,NaN
t74d11xx,566089,NaN
t75e11xx,2739219,NaN
t75k11xx,108844,NaN
t75u11xx,52708323,NaN
tiw56n58,125224,NaN
tiw56n66,226547,NaN
tiw56n72,365146,NaN
tiw56r58,129568,NaN
tiw56r67,222810,NaN
usa79,1813986,NaN
