Problem,Bounds_min,Bounds_max
r100a2,145270,NaN
r100c2,141702,NaN
r100e2,147416,NaN
r150a1,349251,NaN
r150b1,347627,NaN
r150c1,346492,NaN
r150d1,348902,NaN
r150e1,349910,NaN
r200a1,616399,NaN
r200b1,622112,NaN
r200c1,611956,NaN
r200d1,616617,NaN
r200e1,611306,NaN
r250b0,1013737,NaN
r250d0,1015041,NaN
r100b2,143271,NaN
r100d2,142630,NaN
r150a0,360978,NaN
r150b0,367635,NaN
r150c0,363895,NaN
r150d0,363180,NaN
r150e0,367181,NaN
r200a0,654604,NaN
r200b0,651237,NaN
r200c0,657441,NaN
r200d0,654375,NaN
r200e0,645207,NaN
r250a0,1019120,NaN
r250c0,1010961,NaN
r250e0,1008267,NaN
