Problem,Bounds_min,Bounds_max
t2d100.01,25362,NaN
t2d100.03,25886,NaN
t2d100.05,25118,NaN
t2d100.07,27144,NaN
t2d100.09,27752,NaN
t2d100.11,25106,NaN
t2d100.13,27878,NaN
t2d100.15,24232,NaN
t2d100.17,26704,NaN
t2d100.19,28760,NaN
t2d100.21,24452,NaN
t2d100.23,25588,NaN
t2d100.25,23742,NaN
t2d150.02,73624,73811
t2d150.04,73963,74136
t2d150.06,75440,75604
t2d150.08,67463,67803
t2d150.10,69029,69302
t2d150.12,72181,72429
t2d150.14,68132,68331
t2d150.16,72018,72238
t2d150.18,73191,73424
t2d150.20,67370,67651
t2d150.22,69287,69515
t2d150.24,70063,70323
t2d200.01,147742,148294
t2d200.03,141378,142105
t2d200.05,150236,150854
t2d200.07,149752,150379
t2d200.09,141958,142747
t2d200.11,147542,148262
t2d200.13,137618,138514
t2d200.15,140442,141227
t2d200.17,131874,132728
t2d200.19,137314,138182
t2d200.21,143568,144221
t2d200.23,145034,145731
t2d200.25,149128,149723
t2d100.02,28326,NaN
t2d100.04,26076,NaN
t2d100.06,25380,NaN
t2d100.08,23784,NaN
t2d100.10,26690,NaN
t2d100.12,26782,NaN
t2d100.14,25878,NaN
t2d100.16,28206,NaN
t2d100.18,26928,NaN
t2d100.20,25220,NaN
t2d100.22,27230,NaN
t2d100.24,24800,NaN
t2d150.01,76041,76276
t2d150.03,69705,69894
t2d150.05,79723,79847
t2d150.07,73858,74067
t2d150.09,70739,70915
t2d150.11,72800,72987
t2d150.13,74580,74739
t2d150.15,76831,77007
t2d150.17,70185,70468
t2d150.19,75958,76133
t2d150.21,70297,70571
t2d150.23,74799,74958
t2d150.25,73853,74026
t2d200.02,144218,144903
t2d200.04,150878,151471
t2d200.06,141254,142009
t2d200.08,149910,150415
t2d200.10,149630,150232
t2d200.12,152470,153064
t2d200.14,144384,145083
t2d200.16,147448,148114
t2d200.18,151196,151663
t2d200.20,146508,147051
t2d200.22,146920,147524
t2d200.24,151260,151769
