Problem,Bounds_min,Bounds_max
sgb75.01,2724126,NaN
sgb75.03,2747384,NaN
sgb75.05,2707863,NaN
sgb75.07,2727928,NaN
sgb75.09,2687364,NaN
sgb75.11,2732686,NaN
sgb75.13,2714591,NaN
sgb75.15,2732810,NaN
sgb75.17,2747864,NaN
sgb75.19,2736221,NaN
sgb75.21,2740289,NaN
sgb75.23,2720981,NaN
sgb75.25,2731542,NaN
sgb75.02,2616392,NaN
sgb75.04,2734169,NaN
sgb75.06,2707280,NaN
sgb75.08,2712837,NaN
sgb75.10,2733387,NaN
sgb75.12,2692548,NaN
sgb75.14,2733926,NaN
sgb75.16,2747797,NaN
sgb75.18,2579344,NaN
sgb75.20,2732021,NaN
sgb75.22,2710122,NaN
sgb75.24,2743879,NaN
