Problem,Bounds_min,Bounds_max
be75eec_150,3482828,3527035
be75oi_150,2246534,2259482
stabu1_150,2875732,2923697
stabu3_150,4510445,4582377
t59d11xx_150,1462697,1500324
t59n11xx_150,318951,323636
t65d11xx_150,3559347,3646934
t65l11xx_150,253396,255390
t69r11xx_150,11855957,12021166
t70d11xn_150,5825147,5956793
t70f11xx_150,5150097,5285191
t70n11xx_150,948913,959803
t75d11xx_150,9642140,9850135
t75k11xx_150,1541596,1569847
tiw56n54_150,837945,857599
tiw56n62_150,1626921,1668859
tiw56n67_150,2372926,2422085
tiw56r54_150,958139,979551
tiw56r66_150,1940755,1988549
tiw56r72_150,2823758,2888328
be75np_250,17814072,18473322
be75tot_250,30958609,32055676
stabu2_250,11500448,11898812
t59b11xx_250,8411910,8708488
t59f11xx_250,3993006,4162626
t65b11xx_250,17273996,17751127
t65f11xx_250,8409567,8739670
t65n11xx_250,1429362,1475116
t70b11xx_250,25403045,26133557
t70d11xx_250,16040574,16658483
t70l11xx_250,1113128,1132769
t74d11xx_250,24430250,25350257
t75e11xx_250,106873878,110318580
t75n11xx_250,4524942,4658704
tiw56n58_250,2906657,3026780
tiw56n66_250,5370404,5582715
tiw56n72_250,11149706,11520848
tiw56r58_250,3060323,3185528
tiw56r67_250,5289658,5491577
be75np_150,7174325,7317546
be75tot_150,12287707,12509023
stabu2_150,4327538,4398662
t59b11xx_150,3239550,3298634
t59f11xx_150,1543733,1578719
t65b11xx_150,6453836,6547627
t65f11xx_150,3159326,3231148
t65n11xx_150,550733,558953
t70b11xx_150,9647229,9802850
t70d11xx_150,6174178,6305710
t70l11xx_150,436862,438087
t74d11xx_150,9396044,9601749
t75e11xx_150,41570193,42053463
t75n11xx_150,1743094,1767716
tiw56n58_150,1155392,1183448
tiw56n66_150,2107619,2160391
tiw56n72_150,4135907,4222250
tiw56r58_150,1219295,1248461
tiw56r67_150,2056347,2107042
be75eec_250,8893533,9150239
be75oi_250,5910096,5978555
stabu1_250,7742444,8012535
stabu3_250,11900315,12298263
t59d11xx_250,3841167,4015773
t59n11xx_250,825608,854352
t65d11xx_250,9351696,9745769
t65l11xx_250,666254,679527
t69r11xx_250,31815927,32688871
t70d11xn_250,15207063,15833337
t70f11xx_250,13586135,14178278
t70n11xx_250,2444390,2515339
t75d11xx_250,25017059,25972723
t75k11xx_250,4093849,4249417
tiw56n54_250,2098726,2182012
tiw56n62_250,4142745,4317513
tiw56n67_250,6324858,6536019
tiw56r54_250,2387349,2484343
tiw56r66_250,4948414,5147594
tiw56r72_250,7451579,7727048
